Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalHoursAsleep,TotalTimeInBed,TimeAwakeInBed,HealthySleep
1503960366,4/12/2016,1,327,5.45,346,19,FALSE
1503960366,4/13/2016,2,384,6.4,407,23,FALSE
1503960366,4/15/2016,1,412,6.866666667,442,30,FALSE
1503960366,4/16/2016,2,340,5.666666667,367,27,FALSE
1503960366,4/17/2016,1,700,11.66666667,712,12,FALSE
1503960366,4/19/2016,1,304,5.066666667,320,16,FALSE
1503960366,4/20/2016,1,360,6,377,17,FALSE
1503960366,4/21/2016,1,325,5.416666667,364,39,FALSE
1503960366,4/23/2016,1,361,6.016666667,384,23,FALSE
1503960366,4/24/2016,1,430,7.166666667,449,19,TRUE
1503960366,4/25/2016,1,277,4.616666667,323,46,FALSE
1503960366,4/26/2016,1,245,4.083333333,274,29,FALSE
1503960366,4/28/2016,1,366,6.1,393,27,FALSE
1503960366,4/29/2016,1,341,5.683333333,354,13,FALSE
1503960366,4/30/2016,1,404,6.733333333,425,21,FALSE
1503960366,5/1/2016 ,1,369,6.15,396,27,FALSE
1503960366,5/2/2016 ,1,277,4.616666667,309,32,FALSE
1503960366,5/3/2016 ,1,273,4.55,296,23,FALSE
1503960366,5/5/2016 ,1,247,4.116666667,264,17,FALSE
1503960366,5/6/2016 ,1,334,5.566666667,367,33,FALSE
1503960366,5/7/2016 ,1,331,5.516666667,349,18,FALSE
1503960366,5/8/2016 ,1,594,9.9,611,17,FALSE
1503960366,5/9/2016 ,1,338,5.633333333,342,4,FALSE
1503960366,5/10/2016,1,383,6.383333333,403,20,FALSE
1503960366,5/11/2016,1,285,4.75,306,21,FALSE
1644430081,4/29/2016,1,119,1.983333333,127,8,FALSE
1644430081,4/30/2016,1,124,2.066666667,142,18,FALSE
1644430081,5/2/2016 ,1,796,13.26666667,961,165,FALSE
1644430081,5/8/2016 ,1,137,2.283333333,154,17,FALSE
1844505072,4/15/2016,1,644,10.73333333,961,317,FALSE
1844505072,4/30/2016,1,722,12.03333333,961,239,FALSE
1844505072,5/1/2016 ,1,590,9.833333333,961,371,FALSE
1927972279,4/12/2016,3,750,12.5,775,25,FALSE
1927972279,4/13/2016,1,398,6.633333333,422,24,FALSE
1927972279,4/15/2016,2,475,7.916666667,499,24,TRUE
1927972279,4/26/2016,1,296,4.933333333,315,19,FALSE
1927972279,4/28/2016,1,166,2.766666667,178,12,FALSE
2026352035,4/12/2016,1,503,8.383333333,546,43,TRUE
2026352035,4/13/2016,1,531,8.85,565,34,TRUE
2026352035,4/14/2016,1,545,9.083333333,568,23,FALSE
2026352035,4/15/2016,1,523,8.716666667,573,50,TRUE
2026352035,4/16/2016,1,524,8.733333333,567,43,TRUE
2026352035,4/17/2016,1,437,7.283333333,498,61,TRUE
2026352035,4/19/2016,1,498,8.3,540,42,TRUE
2026352035,4/20/2016,1,461,7.683333333,510,49,TRUE
2026352035,4/21/2016,1,477,7.95,514,37,TRUE
2026352035,4/22/2016,1,520,8.666666667,545,25,TRUE
2026352035,4/23/2016,1,522,8.7,554,32,TRUE
2026352035,4/24/2016,1,555,9.25,591,36,FALSE
2026352035,4/25/2016,1,506,8.433333333,531,25,TRUE
2026352035,4/27/2016,1,508,8.466666667,545,37,TRUE
2026352035,4/28/2016,1,513,8.55,545,32,TRUE
2026352035,4/29/2016,1,490,8.166666667,510,20,TRUE
2026352035,4/30/2016,1,573,9.55,607,34,FALSE
2026352035,5/1/2016 ,1,527,8.783333333,546,19,TRUE
2026352035,5/2/2016 ,1,511,8.516666667,543,32,TRUE
2026352035,5/4/2016 ,1,538,8.966666667,560,22,TRUE
2026352035,5/5/2016 ,1,468,7.8,485,17,TRUE
2026352035,5/6/2016 ,1,524,8.733333333,548,24,TRUE
2026352035,5/7/2016 ,1,511,8.516666667,521,10,TRUE
2026352035,5/8/2016 ,1,541,9.016666667,568,27,FALSE
2026352035,5/9/2016 ,1,531,8.85,556,25,TRUE
2026352035,5/10/2016,1,357,5.95,380,23,FALSE
2026352035,5/11/2016,1,523,8.716666667,553,30,TRUE
2026352035,5/12/2016,1,456,7.6,485,29,TRUE
2320127002,4/23/2016,1,61,1.016666667,69,8,FALSE
2347167796,4/13/2016,1,467,7.783333333,531,64,TRUE
2347167796,4/14/2016,1,445,7.416666667,489,44,TRUE
2347167796,4/15/2016,1,452,7.533333333,504,52,TRUE
2347167796,4/17/2016,1,556,9.266666667,602,46,FALSE
2347167796,4/18/2016,1,500,8.333333333,557,57,TRUE
2347167796,4/19/2016,1,465,7.75,514,49,TRUE
2347167796,4/21/2016,1,460,7.666666667,484,24,TRUE
2347167796,4/22/2016,1,405,6.75,461,56,FALSE
2347167796,4/23/2016,1,374,6.233333333,386,12,FALSE
2347167796,4/24/2016,1,442,7.366666667,459,17,TRUE
2347167796,4/25/2016,1,433,7.216666667,471,38,TRUE
2347167796,4/26/2016,1,436,7.266666667,490,54,TRUE
2347167796,4/27/2016,1,448,7.466666667,499,51,TRUE
2347167796,4/28/2016,1,408,6.8,450,42,FALSE
2347167796,4/29/2016,1,411,6.85,473,62,FALSE
3977333714,4/12/2016,1,274,4.566666667,469,195,FALSE
3977333714,4/13/2016,2,295,4.916666667,456,161,FALSE
3977333714,4/14/2016,1,291,4.85,397,106,FALSE
